Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/1/18,"2,223","14,862",6.29,25,702,271,65,8,"1,157"
8/2/18,"2,606","21,262",10.35,19,793,210,68,78,"1,537"
8/3/18,"2,951","28,019",11.86,28,310,437,123,22,"2,114"
8/4/18,"2,212","15,573",6.59,13,694,198,85,18,"1,138"
8/5/18,"2,093","13,197",5.58,25,637,206,59,13,987
8/6/18,"2,485","19,756",8.36,30,578,275,77,31,"1,464"
8/7/18,"2,232","11,833",5.01,10,850,323,52,4,"1,191"
8/8/18,"2,478","20,241",8.57,30,483,206,112,44,"1,450"
8/9/18,"3,087","30,974",13.11,34,576,492,123,24,"2,311"
8/10/18,"1,899","9,654",4.08,16,995,216,23,0,767
8/11/18,"3,455","33,976",15.12,78,375,239,129,97,"1,961"
8/12/18,"2,784","27,293",13.89,90,430,338,37,92,"1,852"
8/13/18,"2,255","17,267",7.31,62,478,222,67,40,"1,197"
8/14/18,"2,786","26,032",12.92,18,515,348,47,78,"1,851"
8/15/18,"2,220","15,141",7.45,45,667,213,30,49,"1,126"
8/16/18,"2,482","19,319",9.3,72,519,309,28,66,"1,488"
8/17/18,"2,474","17,647",7.47,41,455,383,44,26,"1,523"
8/18/18,"2,603","22,964",11.16,68,535,316,39,72,"1,635"
8/19/18,"2,299","16,076",6.8,40,631,347,33,24,"1,310"
8/20/18,"2,302","17,777",7.52,40,713,267,67,24,"1,279"
8/21/18,"2,625","23,256",10.24,64,415,282,81,66,"1,660"
8/22/18,"2,324","18,818",7.96,47,549,240,81,38,"1,295"
8/23/18,"2,058","11,405",4.83,29,560,244,18,17,957
8/24/18,"2,934","19,458",8.23,60,507,390,42,82,"2,041"
8/25/18,"2,351","16,025",6.78,45,463,407,21,17,"1,402"
8/26/18,"2,289","16,526",7.02,48,570,265,48,40,"1,245"
8/27/18,"2,215","13,696",5.8,42,540,274,39,22,"1,151"
8/28/18,"2,288","17,469",7.39,48,457,217,69,29,"1,203"
8/29/18,"2,700","26,407",12.91,74,632,263,63,83,"1,705"
8/30/18,"2,156","14,972",7.07,42,704,174,35,48,"1,010"
8/31/18,"2,709","21,272",9,128,526,242,94,80,"1,724"
9/1/17,"2,520","18,402",7.79,59,438,301,107,27,"1,553"
9/2/17,"2,857","27,273",11.62,70,644,355,111,48,"1,954"
9/3/17,"2,212","15,794",6.68,16,657,249,76,4,"1,151"
9/4/17,"2,843","28,438",12.1,125,475,351,100,55,"1,951"
9/5/17,"1,980","12,233",5.18,34,720,160,37,36,843
9/6/17,"2,734","25,835",13.49,75,569,227,46,100,"1,720"
9/7/17,"2,593","24,121",12.51,73,545,208,30,102,"1,550"
9/8/17,"2,646","21,628",9.21,64,337,307,136,32,"1,730"
9/9/17,"2,381","18,046",7.64,53,497,371,31,12,"1,409"
9/10/17,"2,247","15,101",7.25,113,564,172,31,66,"1,131"
9/11/17,"2,060","14,389",6.09,45,715,167,54,29,932
9/12/17,"2,482","22,449",11.68,66,621,158,49,91,"1,396"
9/13/17,"2,170","14,533",6.15,47,721,265,28,22,"1,086"
9/14/17,"2,379","19,809",9.42,57,577,214,47,60,"1,313"
9/15/17,"2,067","13,713",5.8,44,629,221,34,16,966
9/16/17,"2,898","31,413",14.24,14,808,275,137,66,"1,982"
9/17/17,"1,729","5,736",2.43,9,942,183,0,0,554
9/18/17,"2,086","15,616",6.61,9,775,134,92,19,969
9/19/17,"2,521","19,136",8.15,63,682,220,61,53,"1,302"
